Filename:	P:\EPR_user_data\Tarabek\Pracovne\IOCB\IOCB_EPR_Measurements\Violog_wire_Lubos_Magda\Merania_&_Vysledky\Wire_1\TMPhenylDiam_Quant_I\RAW\TMPDA_CV_b.par	 Date: 08/02/2011   Time: 09:50

Slice 1
X [G]	Y []	Intensity
3461.620117	0.000000	-23922.595703
3461.669922	0.000000	93828.406250
3461.719971	0.000000	96548.406250
3461.770020	0.000000	30917.404297
3461.820068	0.000000	-26646.595703
3461.870117	0.000000	-1246.595703
3461.919922	0.000000	9744.404297
3461.969971	0.000000	-69399.593750
3462.020020	0.000000	-7806.595703
3462.070068	0.000000	43147.406250
3462.120117	0.000000	-41046.593750
3462.169922	0.000000	11181.404297
3462.219971	0.000000	-69293.593750
3462.270020	0.000000	-91545.593750
3462.320068	0.000000	-74234.593750
3462.370117	0.000000	-4305.595703
3462.419922	0.000000	12644.404297
3462.469971	0.000000	22704.404297
3462.520020	0.000000	66802.406250
3462.570068	0.000000	56048.406250
3462.620117	0.000000	74065.406250
3462.669922	0.000000	-8443.595703
3462.719971	0.000000	25998.404297
3462.770020	0.000000	-22098.595703
3462.820068	0.000000	-2145.595703
3462.870117	0.000000	-11892.595703
3462.919922	0.000000	60696.406250
3462.969971	0.000000	83979.406250
3463.020020	0.000000	18407.404297
3463.070068	0.000000	-55310.593750
3463.120117	0.000000	3078.404297
3463.169922	0.000000	-24739.595703
3463.219971	0.000000	-37052.593750
3463.270020	0.000000	-4717.595703
3463.320068	0.000000	-15208.595703
3463.370117	0.000000	-8910.595703
3463.419922	0.000000	40191.406250
3463.469971	0.000000	-40202.593750
3463.520020	0.000000	-63034.593750
3463.570068	0.000000	8844.404297
3463.620117	0.000000	1061.404297
3463.669922	0.000000	41239.406250
3463.719971	0.000000	43820.406250
3463.770020	0.000000	36848.406250
3463.820068	0.000000	20666.404297
3463.870117	0.000000	-3054.595703
3463.919922	0.000000	-1922.595703
3463.969971	0.000000	35715.406250
3464.020020	0.000000	16543.404297
3464.070068	0.000000	-55253.593750
3464.120117	0.000000	-107881.593750
3464.169922	0.000000	-4611.595703
3464.219971	0.000000	-5255.595703
3464.270020	0.000000	-90458.593750
3464.320068	0.000000	-22933.595703
3464.370117	0.000000	58090.406250
3464.419922	0.000000	-5248.595703
3464.469971	0.000000	-75801.593750
3464.520020	0.000000	-113482.593750
3464.570068	0.000000	5130.404297
3464.620117	0.000000	48870.406250
3464.669922	0.000000	-16374.595703
3464.719971	0.000000	-20297.595703
3464.770020	0.000000	-48291.593750
3464.820068	0.000000	-56648.593750
3464.870117	0.000000	26623.404297
3464.919922	0.000000	64913.406250
3464.969971	0.000000	19013.404297
3465.020020	0.000000	8422.404297
3465.070068	0.000000	-38830.593750
3465.120117	0.000000	-65162.593750
3465.169922	0.000000	5848.404297
3465.219971	0.000000	21634.404297
3465.270020	0.000000	61515.406250
3465.320068	0.000000	-24.595701
3465.370117	0.000000	-54182.593750
3465.419922	0.000000	-50580.593750
3465.469971	0.000000	-15056.595703
3465.520020	0.000000	3876.404297
3465.570068	0.000000	-20723.595703
3465.620117	0.000000	-76672.593750
3465.669922	0.000000	4728.404297
3465.719971	0.000000	31324.404297
3465.770020	0.000000	-68498.593750
3465.820068	0.000000	-79601.593750
3465.870117	0.000000	13971.404297
3465.919922	0.000000	51607.406250
3465.969971	0.000000	-57534.593750
3466.020020	0.000000	-18233.595703
3466.070068	0.000000	20051.404297
3466.120117	0.000000	-4563.595703
3466.169922	0.000000	12523.404297
3466.219971	0.000000	31651.404297
3466.270020	0.000000	34147.406250
3466.320068	0.000000	65138.406250
3466.370117	0.000000	-31251.595703
3466.419922	0.000000	-61536.593750
3466.469971	0.000000	24402.404297
3466.520020	0.000000	-38822.593750
3466.570068	0.000000	13761.404297
3466.620117	0.000000	28803.404297
3466.669922	0.000000	20194.404297
3466.719971	0.000000	53616.406250
3466.770020	0.000000	8271.404297
3466.820068	0.000000	27575.404297
3466.870117	0.000000	60908.406250
3466.919922	0.000000	-53935.593750
3466.969971	0.000000	-18896.595703
3467.020020	0.000000	13810.404297
3467.070068	0.000000	13463.404297
3467.120117	0.000000	-60269.593750
3467.169922	0.000000	89309.406250
3467.219971	0.000000	32736.404297
3467.270020	0.000000	-18836.595703
3467.320068	0.000000	49485.406250
3467.370117	0.000000	55216.406250
3467.419922	0.000000	64463.406250
3467.469971	0.000000	-2867.595703
3467.520020	0.000000	44917.406250
3467.570068	0.000000	44099.406250
3467.620117	0.000000	-16260.595703
3467.669922	0.000000	59565.406250
3467.719971	0.000000	50075.406250
3467.770020	0.000000	-46239.593750
3467.820068	0.000000	-3464.595703
3467.870117	0.000000	24657.404297
3467.919922	0.000000	-54627.593750
3467.969971	0.000000	-31723.595703
3468.020020	0.000000	-2769.595703
3468.070068	0.000000	42347.406250
3468.120117	0.000000	28109.404297
3468.169922	0.000000	784.404297
3468.219971	0.000000	-63568.593750
3468.270020	0.000000	-32891.593750
3468.320068	0.000000	15127.404297
3468.370117	0.000000	2497.404297
3468.419922	0.000000	-33890.593750
3468.469971	0.000000	-32474.595703
3468.520020	0.000000	81757.406250
3468.570068	0.000000	10246.404297
3468.620117	0.000000	-18265.595703
3468.669922	0.000000	-89939.593750
3468.719971	0.000000	-63330.593750
3468.770020	0.000000	-59775.593750
3468.820068	0.000000	17908.404297
3468.870117	0.000000	-1784.595703
3468.919922	0.000000	-56337.593750
3468.969971	0.000000	29346.404297
3469.020020	0.000000	-51922.593750
3469.070068	0.000000	25996.404297
3469.120117	0.000000	19310.404297
3469.169922	0.000000	52354.406250
3469.219971	0.000000	38506.406250
3469.270020	0.000000	15939.404297
3469.320068	0.000000	55373.406250
3469.370117	0.000000	-32929.593750
3469.419922	0.000000	20407.404297
3469.469971	0.000000	10787.404297
3469.520020	0.000000	-32376.595703
3469.570068	0.000000	-15884.595703
3469.620117	0.000000	-46851.593750
3469.669922	0.000000	3454.404297
3469.719971	0.000000	-48034.593750
3469.770020	0.000000	27486.404297
3469.820068	0.000000	86335.406250
3469.870117	0.000000	10746.404297
3469.919922	0.000000	-584.595703
3469.969971	0.000000	18838.404297
3470.020020	0.000000	32504.404297
3470.070068	0.000000	-9315.595703
3470.120117	0.000000	-43742.593750
3470.169922	0.000000	-60033.593750
3470.219971	0.000000	-11703.595703
3470.270020	0.000000	48074.406250
3470.320068	0.000000	35859.406250
3470.370117	0.000000	66681.406250
3470.419922	0.000000	10571.404297
3470.469971	0.000000	-40214.593750
3470.520020	0.000000	-62087.593750
3470.570068	0.000000	-23584.595703
3470.620117	0.000000	95993.406250
3470.669922	0.000000	108548.406250
3470.719971	0.000000	42566.406250
3470.770020	0.000000	67.404297
3470.820068	0.000000	22046.404297
3470.870117	0.000000	37667.406250
3470.919922	0.000000	30296.404297
3470.969971	0.000000	54426.406250
3471.020020	0.000000	80816.406250
3471.070068	0.000000	-13530.595703
3471.120117	0.000000	-58866.593750
3471.169922	0.000000	-85027.593750
3471.219971	0.000000	-32940.593750
3471.270020	0.000000	-28076.595703
3471.320068	0.000000	-66173.593750
3471.370117	0.000000	-15622.595703
3471.419922	0.000000	42655.406250
3471.469971	0.000000	41622.406250
3471.520020	0.000000	10235.404297
3471.570068	0.000000	16832.404297
3471.620117	0.000000	46536.406250
3471.669922	0.000000	10926.404297
3471.719971	0.000000	-94010.593750
3471.770020	0.000000	-17269.595703
3471.820068	0.000000	26262.404297
3471.870117	0.000000	1699.404297
3471.919922	0.000000	79912.406250
3471.969971	0.000000	53960.406250
3472.020020	0.000000	-11481.595703
3472.070068	0.000000	-18394.595703
3472.120117	0.000000	14973.404297
3472.169922	0.000000	45647.406250
3472.219971	0.000000	-41239.593750
3472.270020	0.000000	-6764.595703
3472.320068	0.000000	-44400.593750
3472.370117	0.000000	67405.406250
3472.419922	0.000000	27129.404297
3472.469971	0.000000	-12766.595703
3472.520020	0.000000	37410.406250
3472.570068	0.000000	12774.404297
3472.620117	0.000000	14676.404297
3472.669922	0.000000	70982.406250
3472.719971	0.000000	38652.406250
3472.770020	0.000000	7390.404297
3472.820068	0.000000	15966.404297
3472.870117	0.000000	-52094.593750
3472.919922	0.000000	10713.404297
3472.969971	0.000000	9807.404297
3473.020020	0.000000	-20928.595703
3473.070068	0.000000	8197.404297
3473.120117	0.000000	55248.406250
3473.169922	0.000000	61306.406250
3473.219971	0.000000	-13635.595703
3473.270020	0.000000	-24000.595703
3473.320068	0.000000	13669.404297
3473.370117	0.000000	-21089.595703
3473.419922	0.000000	-53903.593750
3473.469971	0.000000	-53896.593750
3473.520020	0.000000	-62279.593750
3473.570068	0.000000	-1014.595703
3473.620117	0.000000	107155.406250
3473.669922	0.000000	33650.406250
3473.719971	0.000000	39001.406250
3473.770020	0.000000	64615.406250
3473.820068	0.000000	13896.404297
3473.870117	0.000000	32729.404297
3473.919922	0.000000	57815.406250
3473.969971	0.000000	20727.404297
3474.020020	0.000000	65266.406250
3474.070068	0.000000	-13302.595703
3474.120117	0.000000	-105522.593750
3474.169922	0.000000	-50656.593750
3474.219971	0.000000	-85488.593750
3474.270020	0.000000	22526.404297
3474.320068	0.000000	-72772.593750
3474.370117	0.000000	-32528.595703
3474.419922	0.000000	36682.406250
3474.469971	0.000000	6184.404297
3474.520020	0.000000	20481.404297
3474.570068	0.000000	11086.404297
3474.620117	0.000000	27804.404297
3474.669922	0.000000	29503.404297
3474.719971	0.000000	-14883.595703
3474.770020	0.000000	-24553.595703
3474.820068	0.000000	4878.404297
3474.870117	0.000000	18010.404297
3474.919922	0.000000	5116.404297
3474.969971	0.000000	37951.406250
3475.020020	0.000000	35663.406250
3475.070068	0.000000	7410.404297
3475.120117	0.000000	-22513.595703
3475.169922	0.000000	10731.404297
3475.219971	0.000000	-17616.595703
3475.270020	0.000000	25111.404297
3475.320068	0.000000	-3401.595703
3475.370117	0.000000	-61685.593750
3475.419922	0.000000	-58669.593750
3475.469971	0.000000	-42438.593750
3475.520020	0.000000	52484.406250
3475.570068	0.000000	91207.406250
3475.620117	0.000000	37330.406250
3475.669922	0.000000	-56488.593750
3475.719971	0.000000	-5780.595703
3475.770020	0.000000	39033.406250
3475.820068	0.000000	71828.406250
3475.870117	0.000000	6305.404297
3475.919922	0.000000	-20741.595703
3475.969971	0.000000	-17778.595703
3476.020020	0.000000	-4432.595703
3476.070068	0.000000	-35495.593750
3476.120117	0.000000	-39602.593750
3476.169922	0.000000	-73759.593750
3476.219971	0.000000	21791.404297
3476.270020	0.000000	-4405.595703
3476.320068	0.000000	-11640.595703
3476.370117	0.000000	-8948.595703
3476.419922	0.000000	-71540.593750
3476.469971	0.000000	-31932.595703
3476.520020	0.000000	-61745.593750
3476.570068	0.000000	-89537.593750
3476.620117	0.000000	14836.404297
3476.669922	0.000000	-15601.595703
3476.719971	0.000000	-11488.595703
3476.770020	0.000000	-22354.595703
3476.820068	0.000000	44655.406250
3476.870117	0.000000	59167.406250
3476.919922	0.000000	1361.404297
3476.969971	0.000000	-31661.595703
3477.020020	0.000000	88064.406250
3477.070068	0.000000	69362.406250
3477.120117	0.000000	61954.406250
3477.169922	0.000000	-3176.595703
3477.219971	0.000000	56214.406250
3477.270020	0.000000	23382.404297
3477.320068	0.000000	-18096.595703
3477.370117	0.000000	-21840.595703
3477.419922	0.000000	-21822.595703
3477.469971	0.000000	-39092.593750
3477.520020	0.000000	-37758.593750
3477.570068	0.000000	48778.406250
3477.620117	0.000000	-30588.595703
3477.669922	0.000000	-22463.595703
3477.719971	0.000000	13271.404297
3477.770020	0.000000	2940.404297
3477.820068	0.000000	-34770.593750
3477.870117	0.000000	-26000.595703
3477.919922	0.000000	-36271.593750
3477.969971	0.000000	-40220.593750
3478.020020	0.000000	-11472.595703
3478.070068	0.000000	-18168.595703
3478.120117	0.000000	-61610.593750
3478.169922	0.000000	-76911.593750
3478.219971	0.000000	-37207.593750
3478.270020	0.000000	19372.404297
3478.320068	0.000000	12291.404297
3478.370117	0.000000	-5870.595703
3478.419922	0.000000	62484.406250
3478.469971	0.000000	80205.406250
3478.520020	0.000000	8526.404297
3478.570068	0.000000	-63621.593750
3478.620117	0.000000	-83370.593750
3478.669922	0.000000	40782.406250
3478.719971	0.000000	75162.406250
3478.770020	0.000000	71644.406250
3478.820068	0.000000	95172.406250
3478.870117	0.000000	-15996.595703
3478.919922	0.000000	-35448.593750
3478.969971	0.000000	-47909.593750
3479.020020	0.000000	-106171.593750
3479.070068	0.000000	-86149.593750
3479.120117	0.000000	-48080.593750
3479.169922	0.000000	26508.404297
3479.219971	0.000000	56087.406250
3479.270020	0.000000	-9922.595703
3479.320068	0.000000	-10995.595703
3479.370117	0.000000	34568.406250
3479.419922	0.000000	128715.406250
3479.469971	0.000000	31692.404297
3479.520020	0.000000	55916.406250
3479.570068	0.000000	27495.404297
3479.620117	0.000000	-16454.595703
3479.669922	0.000000	10714.404297
3479.719971	0.000000	-2188.595703
3479.770020	0.000000	65710.406250
3479.820068	0.000000	79763.406250
3479.870117	0.000000	-60599.593750
3479.919922	0.000000	-117625.593750
3479.969971	0.000000	1019.404297
3480.020020	0.000000	20780.404297
3480.070068	0.000000	-115071.593750
3480.120117	0.000000	-136278.593750
3480.169922	0.000000	-39212.593750
3480.219971	0.000000	-23241.595703
3480.270020	0.000000	-16003.595703
3480.320068	0.000000	-55315.593750
3480.370117	0.000000	-73029.593750
3480.419922	0.000000	-28995.595703
3480.469971	0.000000	-57475.593750
3480.520020	0.000000	-71574.593750
3480.570068	0.000000	-82063.593750
3480.620117	0.000000	-77025.593750
3480.669922	0.000000	35174.406250
3480.719971	0.000000	91464.406250
3480.770020	0.000000	101589.406250
3480.820068	0.000000	34237.406250
3480.870117	0.000000	41289.406250
3480.919922	0.000000	-1067.595703
3480.969971	0.000000	18892.404297
3481.020020	0.000000	-14591.595703
3481.070068	0.000000	-18383.595703
3481.120117	0.000000	30011.404297
3481.169922	0.000000	-777.595703
3481.219971	0.000000	-74911.593750
3481.270020	0.000000	5681.404297
3481.320068	0.000000	-7798.595703
3481.370117	0.000000	30045.404297
3481.419922	0.000000	56510.406250
3481.469971	0.000000	115141.406250
3481.520020	0.000000	13828.404297
3481.570068	0.000000	-14863.595703
3481.620117	0.000000	-23251.595703
3481.669922	0.000000	-21101.595703
3481.719971	0.000000	-19087.595703
3481.770020	0.000000	74495.406250
3481.820068	0.000000	51532.406250
3481.870117	0.000000	35106.406250
3481.919922	0.000000	-27135.595703
3481.969971	0.000000	-16125.595703
3482.020020	0.000000	-39370.593750
3482.070068	0.000000	24176.404297
3482.120117	0.000000	49302.406250
3482.169922	0.000000	47051.406250
3482.219971	0.000000	43452.406250
3482.270020	0.000000	39579.406250
3482.320068	0.000000	16913.404297
3482.370117	0.000000	-22235.595703
3482.419922	0.000000	14884.404297
3482.469971	0.000000	15439.404297
3482.520020	0.000000	-17738.595703
3482.570068	0.000000	81650.406250
3482.620117	0.000000	43429.406250
3482.669922	0.000000	-86605.593750
3482.719971	0.000000	3063.404297
3482.770020	0.000000	14086.404297
3482.820068	0.000000	-15983.595703
3482.870117	0.000000	-78573.593750
3482.919922	0.000000	-90975.593750
3482.969971	0.000000	-10593.595703
3483.020020	0.000000	70347.406250
3483.070068	0.000000	-8107.595703
3483.120117	0.000000	20855.404297
3483.169922	0.000000	41774.406250
3483.219971	0.000000	18497.404297
3483.270020	0.000000	28778.404297
3483.320068	0.000000	-14998.595703
3483.370117	0.000000	38236.406250
3483.419922	0.000000	-68365.593750
3483.469971	0.000000	-64256.593750
3483.520020	0.000000	51783.406250
3483.570068	0.000000	55500.406250
3483.620117	0.000000	25302.404297
3483.669922	0.000000	-22923.595703
3483.719971	0.000000	17116.404297
3483.770020	0.000000	-59391.593750
3483.820068	0.000000	-34174.593750
3483.870117	0.000000	46475.406250
3483.919922	0.000000	19899.404297
3483.969971	0.000000	-26761.595703
3484.020020	0.000000	2103.404297
3484.070068	0.000000	6536.404297
3484.120117	0.000000	38973.406250
3484.169922	0.000000	48605.406250
3484.219971	0.000000	74718.406250
3484.270020	0.000000	67381.406250
3484.320068	0.000000	227852.406250
3484.370117	0.000000	174672.406250
3484.419922	0.000000	74236.406250
3484.469971	0.000000	39120.406250
3484.520020	0.000000	44576.406250
3484.570068	0.000000	1567.404297
3484.620117	0.000000	77493.406250
3484.669922	0.000000	62390.406250
3484.719971	0.000000	38397.406250
3484.770020	0.000000	111773.406250
3484.820068	0.000000	38789.406250
