Filename:	P:\EPR_user_data\Tarabek\Pracovne\IOCB\IOCB_EPR_Measurements\Violog_wire_Lubos_Magda\Merania_&_Vysledky\Wire_1\TMPhenylDiam_Quant_I\RAW\TMPDA_accu_b.par	 Date: 08/02/2011   Time: 09:52

X [G]	Intensity
3469.969971	-701054.750000
3470.020020	-218253.765625
3470.070068	473523.218750
3470.120117	1248631.250000
3470.169922	2139536.250000
3470.219971	3798398.250000
3470.270020	5946651.000000
3470.320068	8602717.000000
3470.370117	11974557.000000
3470.419922	15389363.000000
3470.469971	18504196.000000
3470.520020	20227186.000000
3470.570068	20434730.000000
3470.620117	19597570.000000
3470.669922	17035158.000000
3470.719971	12634815.000000
3470.770020	7070801.000000
3470.820068	891366.250000
3470.870117	-4751484.000000
3470.919922	-9806214.000000
3470.969971	-13694963.000000
3471.020020	-16830320.000000
3471.070068	-18728854.000000
3471.120117	-18485894.000000
3471.169922	-17346312.000000
3471.219971	-15524043.000000
3471.270020	-13608817.000000
3471.320068	-11694221.000000
3471.370117	-8697784.000000
3471.419922	-6311874.000000
3471.469971	-4942314.000000
3471.520020	-3360808.750000
3471.570068	-2408357.750000
3471.620117	-1582399.750000
3471.669922	-741002.750000
3471.719971	-360861.781250
3471.770020	34098.230469
3471.820068	407502.218750
3471.870117	660580.250000
3471.919922	1091664.250000
3471.969971	1532773.250000
3472.020020	2312371.250000
3472.070068	3179047.250000
3472.120117	4464929.000000
3472.169922	6304307.000000
3472.219971	8824921.000000
3472.270020	12289307.000000
3472.320068	16765077.000000
3472.370117	22001278.000000
3472.419922	26809986.000000
3472.469971	29746400.000000
3472.520020	30803274.000000
3472.570068	30124850.000000
3472.620117	26960742.000000
3472.669922	21200290.000000
3472.719971	12505517.000000
3472.770020	2878454.250000
3472.820068	-5891713.000000
3472.870117	-13333187.000000
3472.919922	-19835264.000000
3472.969971	-25008866.000000
3473.020020	-28017778.000000
3473.070068	-28569122.000000
3473.120117	-27048742.000000
3473.169922	-24455402.000000
3473.219971	-21751342.000000
3473.270020	-18235782.000000
3473.320068	-14487056.000000
3473.370117	-11075827.000000
3473.419922	-8357055.000000
3473.469971	-5796843.000000
3473.520020	-3937302.750000
3473.570068	-2514195.750000
3473.620117	-2008054.750000
3473.669922	-1355639.750000
3473.719971	-478366.781250
3473.770020	-148373.765625
3473.820068	257410.234375
3473.870117	463744.218750
3473.919922	703853.250000
3473.969971	1327693.250000
3474.020020	2032193.250000
3474.070068	2927175.250000
3474.120117	4045777.250000
3474.169922	5288465.000000
3474.219971	7652222.000000
3474.270020	10541627.000000
3474.320068	13489459.000000
3474.370117	16463962.000000
3474.419922	18615982.000000
3474.469971	20077874.000000
3474.520020	20258890.000000
3474.570068	18879686.000000
3474.620117	15448856.000000
3474.669922	10197774.000000
3474.719971	4160812.250000
3474.770020	-1874221.750000
3474.820068	-7278220.000000
3474.870117	-12174383.000000
3474.919922	-15702709.000000
3474.969971	-17946132.000000
3475.020020	-18617256.000000
3475.070068	-17566534.000000
3475.120117	-15168395.000000
3475.169922	-12631880.000000
3475.219971	-9326569.000000
3475.270020	-5996478.000000
3475.320068	-2054612.750000
3475.370117	1519906.250000
3475.419922	4222216.000000
3475.469971	6348854.000000
3475.520020	8270608.000000
3475.570068	9449667.000000
3475.620117	9323429.000000
3475.669922	7997503.000000
3475.719971	5889308.000000
3475.770020	3608452.250000
3475.820068	1132885.250000
3475.870117	-1441991.750000
3475.919922	-4002150.750000
3475.969971	-6324593.000000
3476.020020	-7935280.000000
3476.070068	-8537322.000000
3476.120117	-8372399.000000
3476.169922	-7464472.000000
3476.219971	-6480438.000000
3476.270020	-4837295.000000
3476.320068	-2520965.750000
3476.370117	-524991.750000
3476.419922	1294814.250000
3476.469971	2578104.250000
3476.520020	3173927.250000
3476.570068	3433631.250000
3476.620117	2540370.250000
3476.669922	1448534.250000
3476.719971	126095.226563
3476.770020	-868242.750000
3476.820068	-1414325.750000
3476.870117	-2227361.750000
3476.919922	-2400006.750000
3476.969971	-1685566.750000
3477.020020	-788124.750000
3477.070068	1190546.250000
3477.120117	3878868.250000
3477.169922	7690302.000000
3477.219971	12784893.000000
3477.270020	19141356.000000
3477.320068	25502674.000000
3477.370117	31591038.000000
3477.419922	36460380.000000
3477.469971	39954756.000000
3477.520020	41870924.000000
3477.570068	40727572.000000
3477.620117	35543456.000000
3477.669922	27357744.000000
3477.719971	17810288.000000
3477.770020	7597397.000000
3477.820068	-3556592.750000
3477.870117	-15006235.000000
3477.919922	-25428110.000000
3477.969971	-33215150.000000
3478.020020	-38091084.000000
3478.070068	-39637844.000000
3478.120117	-39485276.000000
3478.169922	-37602828.000000
3478.219971	-33419422.000000
3478.270020	-27235376.000000
3478.320068	-21062506.000000
3478.370117	-15816523.000000
3478.419922	-11777399.000000
3478.469971	-8484398.000000
3478.520020	-5918675.000000
3478.570068	-3680847.750000
3478.620117	-1920776.750000
3478.669922	-798414.750000
3478.719971	120945.226563
3478.770020	457372.218750
3478.820068	1393756.250000
3478.870117	2346205.250000
3478.919922	3342658.250000
3478.969971	5153090.000000
3479.020020	7631941.000000
3479.070068	10846710.000000
3479.120117	14905894.000000
3479.169922	21397098.000000
3479.219971	29232582.000000
3479.270020	37377692.000000
3479.320068	46178720.000000
3479.370117	54032824.000000
3479.419922	58860816.000000
3479.469971	62004640.000000
3479.520020	61798892.000000
3479.570068	55783216.000000
3479.620117	44347588.000000
3479.669922	29671494.000000
3479.719971	14571693.000000
3479.770020	-1519692.750000
3479.820068	-19043382.000000
3479.870117	-35027408.000000
3479.919922	-47916480.000000
3479.969971	-56396624.000000
3480.020020	-59618312.000000
3480.070068	-59834068.000000
3480.120117	-57581812.000000
3480.169922	-52462404.000000
3480.219971	-43861852.000000
3480.270020	-33641084.000000
3480.320068	-25739098.000000
3480.370117	-19485702.000000
3480.419922	-14097578.000000
3480.469971	-10062580.000000
3480.520020	-7370790.000000
3480.570068	-5090363.000000
3480.620117	-3156331.750000
3480.669922	-2115783.750000
3480.719971	-1131176.750000
3480.770020	-640456.750000
3480.820068	308877.218750
3480.870117	1289015.250000
3480.919922	2312646.250000
3480.969971	4190591.250000
3481.020020	6373747.000000
3481.070068	9098238.000000
3481.120117	12844270.000000
3481.169922	17804736.000000
3481.219971	23233382.000000
