"B_G","dIepr_over_dB","B_mT"
3459.07,-2.63029244719859e-06,345.907
3459.12,-5.06591450552067e-06,345.912
3459.17,-6.75599377364418e-06,345.917
3459.22,-6.62892044727377e-06,345.922
3459.27,-5.88686359295725e-06,345.927
3459.32,-5.5246909644005e-06,345.932
3459.37,-4.6641458517363e-06,345.937
3459.42,-3.13082406360781e-06,345.942
3459.47,-2.50441839016886e-06,345.947
3459.52,-1.15898816851435e-06,345.952
3459.57,-2.13300288540623e-06,345.957
3459.62,-1.58778953628551e-06,345.962
3459.67,-6.90935271786652e-07,345.967
3459.72,-2.58641168404936e-07,345.972
3459.77,9.48908930596315e-07,345.977
3459.82,-6.08948655274503e-07,345.982
3459.87,-2.45534228483855e-07,345.987
3459.92,-6.69167190787643e-07,345.992
3459.97,-4.72155842421826e-07,345.997
3460.02,4.14401780232551e-07,346.002
3460.07,-2.36092219868805e-07,346.007
3460.12,-1.1296552934093e-06,346.012
3460.17,-1.67532497598105e-07,346.017
3460.22,4.82583374670089e-07,346.022
3460.27,5.76065972287481e-07,346.027
3460.32,1.120968281899e-06,346.032
3460.37,1.09483494999763e-06,346.037
3460.42,1.81595164707114e-06,346.042
3460.47,2.95022551185979e-06,346.047
3460.52,3.57176027232364e-06,346.052
3460.57,4.11078037977459e-06,346.057
3460.62,5.09977037124546e-06,346.062
3460.67,4.69158920639694e-06,346.067
3460.72,4.37721283092898e-06,346.072
3460.77,3.86863760765456e-06,346.077
3460.82,2.21266815501362e-06,346.082
3460.87,9.26243635034595e-07,346.087
3460.92,-9.46386353679743e-07,346.092
3460.97,-2.80347946967236e-06,346.097
3461.02,-3.36119564915823e-06,346.102
3461.07,-3.4886314412622e-06,346.107
3461.12,-3.98310182512684e-06,346.112
3461.17,-3.73718896188919e-06,346.117
3461.22,-3.47909322260676e-06,346.122
3461.27,-3.13687187149561e-06,346.127
3461.32,-1.58605551811568e-06,346.132
3461.37,-2.30809464468346e-08,346.137
3461.42,8.03309577843768e-07,346.142
3461.47,1.61501585899457e-06,346.147
3461.52,2.50303453179719e-06,346.152
3461.57,3.19484737060197e-06,346.157
3461.62,4.37071753448123e-06,346.162
3461.67,4.3481775357163e-06,346.167
3461.72,3.07358244573978e-06,346.172
3461.77,2.72196830975516e-06,346.177
3461.82,2.3261288793902e-06,346.182
3461.87,1.06624490590211e-06,346.187
3461.92,-3.50729821678046e-07,346.192
3461.97,-2.0509021593113e-06,346.197
3462.02,-2.97857055596874e-06,346.202
3462.07,-3.85130301956331e-06,346.207
3462.12,-3.67300567773485e-06,346.212
3462.17,-2.78252358040967e-06,346.217
3462.22,-2.53906071703777e-06,346.222
3462.27,-3.03618247062014e-06,346.227
3462.32,-2.757332211927e-06,346.232
3462.37,-2.11759361684419e-06,346.237
3462.42,-9.4811142207837e-07,346.242
3462.47,-8.93392520967077e-07,346.247
3462.52,-6.27971393958189e-07,346.252
3462.57,2.16701469914617e-08,346.257
3462.62,1.09731422890002e-07,346.262
3462.67,1.049394724177e-06,346.267
3462.72,4.10490730218545e-07,346.272
3462.77,-2.91806783025998e-07,346.277
3462.82,-4.77711412893667e-07,346.282
3462.87,-3.47872607222734e-07,346.287
3462.92,-9.21172610769081e-07,346.292
3462.97,-5.68370357697743e-07,346.297
3463.02,-7.9468773185501e-07,346.302
3463.07,-7.96260654143252e-07,346.307
3463.12,7.94288208475076e-07,346.312
3463.17,1.1437767737999e-06,346.317
3463.22,2.35120613829007e-06,346.322
3463.27,3.75089889264481e-06,346.327
3463.32,4.99842539962966e-06,346.332
3463.37,7.5218245764297e-06,346.337
3463.42,1.00568019603579e-05,346.342
3463.47,1.31239869977724e-05,346.347
3463.52,1.55291641719179e-05,346.352
3463.57,1.72481959498705e-05,346.357
3463.62,1.72167196045633e-05,346.362
3463.67,1.6247893447604e-05,346.367
3463.72,1.34499980757992e-05,346.372
3463.77,9.22872270207912e-06,346.377
3463.82,3.17409508863406e-06,346.382
3463.87,-2.62073632900075e-06,346.387
3463.92,-8.05812954704313e-06,346.392
3463.97,-1.11710328125461e-05,346.397
3464.02,-1.35271249665502e-05,346.402
3464.07,-1.58316216895915e-05,346.407
3464.12,-1.61238115822569e-05,346.412
3464.17,-1.45556035859943e-05,346.417
3464.22,-1.25375554773942e-05,346.422
3464.27,-1.04043014390337e-05,346.427
3464.32,-8.52664335698758e-06,346.432
3464.37,-6.59458912495402e-06,346.437
3464.42,-4.91621392011613e-06,346.442
3464.47,-3.69321202365962e-06,346.447
3464.52,-3.00465466412851e-06,346.452
3464.57,-2.51994624319929e-06,346.457
3464.62,-1.26664489634823e-06,346.462
3464.67,-1.24891316216001e-06,346.467
3464.72,-4.73836161964457e-07,346.472
3464.77,2.51493552500924e-07,346.477
3464.82,8.55386059008527e-07,346.482
3464.87,3.06442927700616e-07,346.487
3464.92,5.3802273236291e-07,346.492
3464.97,2.41935196860286e-07,346.497
3465.02,1.30600051883502e-07,346.502
3465.07,1.88203675760529e-06,346.507
3465.12,3.21831143324321e-06,346.512
3465.17,3.45954580358653e-06,346.517
3465.22,5.40591966953865e-06,346.522
3465.27,7.09304103828086e-06,346.527
3465.32,9.69930782469546e-06,346.532
3465.37,1.31869195514017e-05,346.537
3465.42,1.85262702634007e-05,346.542
3465.47,2.25407460708267e-05,346.547
3465.52,2.4642232896316e-05,346.552
3465.57,2.66001989534138e-05,346.557
3465.62,2.60897688900583e-05,346.562
3465.67,2.25031749313329e-05,346.567
3465.72,1.59513136921655e-05,346.572
3465.77,7.91861715742737e-06,346.577
3465.82,-1.34592644451545e-06,346.582
3465.87,-9.56002029808108e-06,346.587
3465.92,-1.54843280556533e-05,346.592
3465.97,-2.02340879780408e-05,346.597
